item_id,taxon_name,original_feature_id,rank
item_000,Synthetic taxon 000,synthetic_species_000,species
item_001,Synthetic taxon 001,synthetic_species_001,species
item_002,Synthetic taxon 002,synthetic_species_002,species
item_003,Synthetic taxon 003,synthetic_species_003,species
item_004,Synthetic taxon 004,synthetic_species_004,species
item_005,Synthetic taxon 005,synthetic_species_005,species
item_006,Synthetic taxon 006,synthetic_species_006,species
item_007,Synthetic taxon 007,synthetic_species_007,species
item_008,Synthetic taxon 008,synthetic_species_008,species
item_009,Synthetic taxon 009,synthetic_species_009,species
item_010,Synthetic taxon 010,synthetic_species_010,species
item_011,Synthetic taxon 011,synthetic_species_011,species
item_012,Synthetic taxon 012,synthetic_species_012,species
item_013,Synthetic taxon 013,synthetic_species_013,species
item_014,Synthetic taxon 014,synthetic_species_014,species
item_015,Synthetic taxon 015,synthetic_species_015,species
item_016,Synthetic taxon 016,synthetic_species_016,species
item_017,Synthetic taxon 017,synthetic_species_017,species
item_018,Synthetic taxon 018,synthetic_species_018,species
item_019,Synthetic taxon 019,synthetic_species_019,species
item_020,Synthetic taxon 020,synthetic_species_020,species
item_021,Synthetic taxon 021,synthetic_species_021,species
item_022,Synthetic taxon 022,synthetic_species_022,species
item_023,Synthetic taxon 023,synthetic_species_023,species
item_024,Synthetic taxon 024,synthetic_species_024,species
item_025,Synthetic taxon 025,synthetic_species_025,species
item_026,Synthetic taxon 026,synthetic_species_026,species
item_027,Synthetic taxon 027,synthetic_species_027,species
item_028,Synthetic taxon 028,synthetic_species_028,species
item_029,Synthetic taxon 029,synthetic_species_029,species
item_030,Synthetic taxon 030,synthetic_species_030,species
item_031,Synthetic taxon 031,synthetic_species_031,species
item_032,Synthetic taxon 032,synthetic_species_032,species
item_033,Synthetic taxon 033,synthetic_species_033,species
item_034,Synthetic taxon 034,synthetic_species_034,species
item_035,Synthetic taxon 035,synthetic_species_035,species
item_036,Synthetic taxon 036,synthetic_species_036,species
item_037,Synthetic taxon 037,synthetic_species_037,species
item_038,Synthetic taxon 038,synthetic_species_038,species
item_039,Synthetic taxon 039,synthetic_species_039,species
item_040,Synthetic taxon 040,synthetic_species_040,species
item_041,Synthetic taxon 041,synthetic_species_041,species
item_042,Synthetic taxon 042,synthetic_species_042,species
item_043,Synthetic taxon 043,synthetic_species_043,species
item_044,Synthetic taxon 044,synthetic_species_044,species
item_045,Synthetic taxon 045,synthetic_species_045,species
item_046,Synthetic taxon 046,synthetic_species_046,species
item_047,Synthetic taxon 047,synthetic_species_047,species
item_048,Synthetic taxon 048,synthetic_species_048,species
item_049,Synthetic taxon 049,synthetic_species_049,species
item_050,Synthetic taxon 050,synthetic_species_050,species
item_051,Synthetic taxon 051,synthetic_species_051,species
item_052,Synthetic taxon 052,synthetic_species_052,species
item_053,Synthetic taxon 053,synthetic_species_053,species
item_054,Synthetic taxon 054,synthetic_species_054,species
item_055,Synthetic taxon 055,synthetic_species_055,species
item_056,Synthetic taxon 056,synthetic_species_056,species
item_057,Synthetic taxon 057,synthetic_species_057,species
item_058,Synthetic taxon 058,synthetic_species_058,species
item_059,Synthetic taxon 059,synthetic_species_059,species
item_060,Synthetic taxon 060,synthetic_species_060,species
item_061,Synthetic taxon 061,synthetic_species_061,species
item_062,Synthetic taxon 062,synthetic_species_062,species
item_063,Synthetic taxon 063,synthetic_species_063,species
item_064,Synthetic taxon 064,synthetic_species_064,species
item_065,Synthetic taxon 065,synthetic_species_065,species
item_066,Synthetic taxon 066,synthetic_species_066,species
item_067,Synthetic taxon 067,synthetic_species_067,species
item_068,Synthetic taxon 068,synthetic_species_068,species
item_069,Synthetic taxon 069,synthetic_species_069,species
item_070,Synthetic taxon 070,synthetic_species_070,species
item_071,Synthetic taxon 071,synthetic_species_071,species
item_072,Synthetic taxon 072,synthetic_species_072,species
item_073,Synthetic taxon 073,synthetic_species_073,species
item_074,Synthetic taxon 074,synthetic_species_074,species
item_075,Synthetic taxon 075,synthetic_species_075,species
item_076,Synthetic taxon 076,synthetic_species_076,species
item_077,Synthetic taxon 077,synthetic_species_077,species
item_078,Synthetic taxon 078,synthetic_species_078,species
item_079,Synthetic taxon 079,synthetic_species_079,species
item_080,Synthetic taxon 080,synthetic_species_080,species
item_081,Synthetic taxon 081,synthetic_species_081,species
item_082,Synthetic taxon 082,synthetic_species_082,species
item_083,Synthetic taxon 083,synthetic_species_083,species
item_084,Synthetic taxon 084,synthetic_species_084,species
item_085,Synthetic taxon 085,synthetic_species_085,species
item_086,Synthetic taxon 086,synthetic_species_086,species
item_087,Synthetic taxon 087,synthetic_species_087,species
item_088,Synthetic taxon 088,synthetic_species_088,species
item_089,Synthetic taxon 089,synthetic_species_089,species
item_090,Synthetic taxon 090,synthetic_species_090,species
item_091,Synthetic taxon 091,synthetic_species_091,species
item_092,Synthetic taxon 092,synthetic_species_092,species
item_093,Synthetic taxon 093,synthetic_species_093,species
item_094,Synthetic taxon 094,synthetic_species_094,species
item_095,Synthetic taxon 095,synthetic_species_095,species
item_096,Synthetic taxon 096,synthetic_species_096,species
item_097,Synthetic taxon 097,synthetic_species_097,species
item_098,Synthetic taxon 098,synthetic_species_098,species
item_099,Synthetic taxon 099,synthetic_species_099,species
item_100,Synthetic taxon 100,synthetic_species_100,species
item_101,Synthetic taxon 101,synthetic_species_101,species
item_102,Synthetic taxon 102,synthetic_species_102,species
item_103,Synthetic taxon 103,synthetic_species_103,species
item_104,Synthetic taxon 104,synthetic_species_104,species
item_105,Synthetic taxon 105,synthetic_species_105,species
item_106,Synthetic taxon 106,synthetic_species_106,species
item_107,Synthetic taxon 107,synthetic_species_107,species
item_108,Synthetic taxon 108,synthetic_species_108,species
item_109,Synthetic taxon 109,synthetic_species_109,species
item_110,Synthetic taxon 110,synthetic_species_110,species
item_111,Synthetic taxon 111,synthetic_species_111,species
item_112,Synthetic taxon 112,synthetic_species_112,species
item_113,Synthetic taxon 113,synthetic_species_113,species
item_114,Synthetic taxon 114,synthetic_species_114,species
item_115,Synthetic taxon 115,synthetic_species_115,species
item_116,Synthetic taxon 116,synthetic_species_116,species
item_117,Synthetic taxon 117,synthetic_species_117,species
item_118,Synthetic taxon 118,synthetic_species_118,species
item_119,Synthetic taxon 119,synthetic_species_119,species
item_120,Synthetic taxon 120,synthetic_species_120,species
item_121,Synthetic taxon 121,synthetic_species_121,species
item_122,Synthetic taxon 122,synthetic_species_122,species
item_123,Synthetic taxon 123,synthetic_species_123,species
item_124,Synthetic taxon 124,synthetic_species_124,species
item_125,Synthetic taxon 125,synthetic_species_125,species
item_126,Synthetic taxon 126,synthetic_species_126,species
item_127,Synthetic taxon 127,synthetic_species_127,species
item_128,Synthetic taxon 128,synthetic_species_128,species
item_129,Synthetic taxon 129,synthetic_species_129,species
item_130,Synthetic taxon 130,synthetic_species_130,species
item_131,Synthetic taxon 131,synthetic_species_131,species
item_132,Synthetic taxon 132,synthetic_species_132,species
item_133,Synthetic taxon 133,synthetic_species_133,species
item_134,Synthetic taxon 134,synthetic_species_134,species
item_135,Synthetic taxon 135,synthetic_species_135,species
item_136,Synthetic taxon 136,synthetic_species_136,species
item_137,Synthetic taxon 137,synthetic_species_137,species
item_138,Synthetic taxon 138,synthetic_species_138,species
item_139,Synthetic taxon 139,synthetic_species_139,species
item_140,Synthetic taxon 140,synthetic_species_140,species
item_141,Synthetic taxon 141,synthetic_species_141,species
item_142,Synthetic taxon 142,synthetic_species_142,species
item_143,Synthetic taxon 143,synthetic_species_143,species
item_144,Synthetic taxon 144,synthetic_species_144,species
item_145,Synthetic taxon 145,synthetic_species_145,species
item_146,Synthetic taxon 146,synthetic_species_146,species
item_147,Synthetic taxon 147,synthetic_species_147,species
item_148,Synthetic taxon 148,synthetic_species_148,species
item_149,Synthetic taxon 149,synthetic_species_149,species
item_150,Synthetic taxon 150,synthetic_species_150,species
item_151,Synthetic taxon 151,synthetic_species_151,species
item_152,Synthetic taxon 152,synthetic_species_152,species
item_153,Synthetic taxon 153,synthetic_species_153,species
item_154,Synthetic taxon 154,synthetic_species_154,species
item_155,Synthetic taxon 155,synthetic_species_155,species
item_156,Synthetic taxon 156,synthetic_species_156,species
item_157,Synthetic taxon 157,synthetic_species_157,species
item_158,Synthetic taxon 158,synthetic_species_158,species
item_159,Synthetic taxon 159,synthetic_species_159,species
item_160,Synthetic taxon 160,synthetic_species_160,species
item_161,Synthetic taxon 161,synthetic_species_161,species
item_162,Synthetic taxon 162,synthetic_species_162,species
item_163,Synthetic taxon 163,synthetic_species_163,species
item_164,Synthetic taxon 164,synthetic_species_164,species
item_165,Synthetic taxon 165,synthetic_species_165,species
item_166,Synthetic taxon 166,synthetic_species_166,species
item_167,Synthetic taxon 167,synthetic_species_167,species
item_168,Synthetic taxon 168,synthetic_species_168,species
item_169,Synthetic taxon 169,synthetic_species_169,species
item_170,Synthetic taxon 170,synthetic_species_170,species
item_171,Synthetic taxon 171,synthetic_species_171,species
item_172,Synthetic taxon 172,synthetic_species_172,species
item_173,Synthetic taxon 173,synthetic_species_173,species
item_174,Synthetic taxon 174,synthetic_species_174,species
item_175,Synthetic taxon 175,synthetic_species_175,species
item_176,Synthetic taxon 176,synthetic_species_176,species
item_177,Synthetic taxon 177,synthetic_species_177,species
item_178,Synthetic taxon 178,synthetic_species_178,species
item_179,Synthetic taxon 179,synthetic_species_179,species
item_180,Synthetic taxon 180,synthetic_species_180,species
item_181,Synthetic taxon 181,synthetic_species_181,species
item_182,Synthetic taxon 182,synthetic_species_182,species
item_183,Synthetic taxon 183,synthetic_species_183,species
item_184,Synthetic taxon 184,synthetic_species_184,species
item_185,Synthetic taxon 185,synthetic_species_185,species
item_186,Synthetic taxon 186,synthetic_species_186,species
item_187,Synthetic taxon 187,synthetic_species_187,species
item_188,Synthetic taxon 188,synthetic_species_188,species
item_189,Synthetic taxon 189,synthetic_species_189,species
item_190,Synthetic taxon 190,synthetic_species_190,species
item_191,Synthetic taxon 191,synthetic_species_191,species
item_192,Synthetic taxon 192,synthetic_species_192,species
item_193,Synthetic taxon 193,synthetic_species_193,species
item_194,Synthetic taxon 194,synthetic_species_194,species
item_195,Synthetic taxon 195,synthetic_species_195,species
item_196,Synthetic taxon 196,synthetic_species_196,species
item_197,Synthetic taxon 197,synthetic_species_197,species
item_198,Synthetic taxon 198,synthetic_species_198,species
item_199,Synthetic taxon 199,synthetic_species_199,species
item_200,Synthetic taxon 200,synthetic_species_200,species
item_201,Synthetic taxon 201,synthetic_species_201,species
item_202,Synthetic taxon 202,synthetic_species_202,species
item_203,Synthetic taxon 203,synthetic_species_203,species
item_204,Synthetic taxon 204,synthetic_species_204,species
item_205,Synthetic taxon 205,synthetic_species_205,species
item_206,Synthetic taxon 206,synthetic_species_206,species
item_207,Synthetic taxon 207,synthetic_species_207,species
item_208,Synthetic taxon 208,synthetic_species_208,species
item_209,Synthetic taxon 209,synthetic_species_209,species
item_210,Synthetic taxon 210,synthetic_species_210,species
item_211,Synthetic taxon 211,synthetic_species_211,species
item_212,Synthetic taxon 212,synthetic_species_212,species
item_213,Synthetic taxon 213,synthetic_species_213,species
item_214,Synthetic taxon 214,synthetic_species_214,species
item_215,Synthetic taxon 215,synthetic_species_215,species
item_216,Synthetic taxon 216,synthetic_species_216,species
item_217,Synthetic taxon 217,synthetic_species_217,species
item_218,Synthetic taxon 218,synthetic_species_218,species
item_219,Synthetic taxon 219,synthetic_species_219,species
item_220,Synthetic taxon 220,synthetic_species_220,species
item_221,Synthetic taxon 221,synthetic_species_221,species
item_222,Synthetic taxon 222,synthetic_species_222,species
item_223,Synthetic taxon 223,synthetic_species_223,species
item_224,Synthetic taxon 224,synthetic_species_224,species
item_225,Synthetic taxon 225,synthetic_species_225,species
item_226,Synthetic taxon 226,synthetic_species_226,species
item_227,Synthetic taxon 227,synthetic_species_227,species
item_228,Synthetic taxon 228,synthetic_species_228,species
item_229,Synthetic taxon 229,synthetic_species_229,species
item_230,Synthetic taxon 230,synthetic_species_230,species
item_231,Synthetic taxon 231,synthetic_species_231,species
item_232,Synthetic taxon 232,synthetic_species_232,species
item_233,Synthetic taxon 233,synthetic_species_233,species
item_234,Synthetic taxon 234,synthetic_species_234,species
item_235,Synthetic taxon 235,synthetic_species_235,species
item_236,Synthetic taxon 236,synthetic_species_236,species
item_237,Synthetic taxon 237,synthetic_species_237,species
item_238,Synthetic taxon 238,synthetic_species_238,species
item_239,Synthetic taxon 239,synthetic_species_239,species
item_240,Synthetic taxon 240,synthetic_species_240,species
item_241,Synthetic taxon 241,synthetic_species_241,species
item_242,Synthetic taxon 242,synthetic_species_242,species
item_243,Synthetic taxon 243,synthetic_species_243,species
item_244,Synthetic taxon 244,synthetic_species_244,species
item_245,Synthetic taxon 245,synthetic_species_245,species
item_246,Synthetic taxon 246,synthetic_species_246,species
item_247,Synthetic taxon 247,synthetic_species_247,species
item_248,Synthetic taxon 248,synthetic_species_248,species
item_249,Synthetic taxon 249,synthetic_species_249,species
item_250,Synthetic taxon 250,synthetic_species_250,species
item_251,Synthetic taxon 251,synthetic_species_251,species
item_252,Synthetic taxon 252,synthetic_species_252,species
item_253,Synthetic taxon 253,synthetic_species_253,species
item_254,Synthetic taxon 254,synthetic_species_254,species
item_255,Synthetic taxon 255,synthetic_species_255,species
item_256,Synthetic taxon 256,synthetic_species_256,species
item_257,Synthetic taxon 257,synthetic_species_257,species
item_258,Synthetic taxon 258,synthetic_species_258,species
item_259,Synthetic taxon 259,synthetic_species_259,species
item_260,Synthetic taxon 260,synthetic_species_260,species
item_261,Synthetic taxon 261,synthetic_species_261,species
item_262,Synthetic taxon 262,synthetic_species_262,species
item_263,Synthetic taxon 263,synthetic_species_263,species
item_264,Synthetic taxon 264,synthetic_species_264,species
item_265,Synthetic taxon 265,synthetic_species_265,species
item_266,Synthetic taxon 266,synthetic_species_266,species
item_267,Synthetic taxon 267,synthetic_species_267,species
item_268,Synthetic taxon 268,synthetic_species_268,species
item_269,Synthetic taxon 269,synthetic_species_269,species
item_270,Synthetic taxon 270,synthetic_species_270,species
item_271,Synthetic taxon 271,synthetic_species_271,species
item_272,Synthetic taxon 272,synthetic_species_272,species
item_273,Synthetic taxon 273,synthetic_species_273,species
item_274,Synthetic taxon 274,synthetic_species_274,species
item_275,Synthetic taxon 275,synthetic_species_275,species
item_276,Synthetic taxon 276,synthetic_species_276,species
item_277,Synthetic taxon 277,synthetic_species_277,species
item_278,Synthetic taxon 278,synthetic_species_278,species
item_279,Synthetic taxon 279,synthetic_species_279,species
item_280,Synthetic taxon 280,synthetic_species_280,species
item_281,Synthetic taxon 281,synthetic_species_281,species
item_282,Synthetic taxon 282,synthetic_species_282,species
item_283,Synthetic taxon 283,synthetic_species_283,species
item_284,Synthetic taxon 284,synthetic_species_284,species
item_285,Synthetic taxon 285,synthetic_species_285,species
item_286,Synthetic taxon 286,synthetic_species_286,species
item_287,Synthetic taxon 287,synthetic_species_287,species
item_288,Synthetic taxon 288,synthetic_species_288,species
item_289,Synthetic taxon 289,synthetic_species_289,species
item_290,Synthetic taxon 290,synthetic_species_290,species
item_291,Synthetic taxon 291,synthetic_species_291,species
item_292,Synthetic taxon 292,synthetic_species_292,species
item_293,Synthetic taxon 293,synthetic_species_293,species
item_294,Synthetic taxon 294,synthetic_species_294,species
item_295,Synthetic taxon 295,synthetic_species_295,species
item_296,Synthetic taxon 296,synthetic_species_296,species
item_297,Synthetic taxon 297,synthetic_species_297,species
item_298,Synthetic taxon 298,synthetic_species_298,species
item_299,Synthetic taxon 299,synthetic_species_299,species
item_300,Synthetic taxon 300,synthetic_species_300,species
item_301,Synthetic taxon 301,synthetic_species_301,species
item_302,Synthetic taxon 302,synthetic_species_302,species
item_303,Synthetic taxon 303,synthetic_species_303,species
item_304,Synthetic taxon 304,synthetic_species_304,species
item_305,Synthetic taxon 305,synthetic_species_305,species
item_306,Synthetic taxon 306,synthetic_species_306,species
item_307,Synthetic taxon 307,synthetic_species_307,species
item_308,Synthetic taxon 308,synthetic_species_308,species
item_309,Synthetic taxon 309,synthetic_species_309,species
item_310,Synthetic taxon 310,synthetic_species_310,species
item_311,Synthetic taxon 311,synthetic_species_311,species
item_312,Synthetic taxon 312,synthetic_species_312,species
item_313,Synthetic taxon 313,synthetic_species_313,species
item_314,Synthetic taxon 314,synthetic_species_314,species
item_315,Synthetic taxon 315,synthetic_species_315,species
item_316,Synthetic taxon 316,synthetic_species_316,species
item_317,Synthetic taxon 317,synthetic_species_317,species
item_318,Synthetic taxon 318,synthetic_species_318,species
item_319,Synthetic taxon 319,synthetic_species_319,species
item_320,Synthetic taxon 320,synthetic_species_320,species
item_321,Synthetic taxon 321,synthetic_species_321,species
item_322,Synthetic taxon 322,synthetic_species_322,species
item_323,Synthetic taxon 323,synthetic_species_323,species
item_324,Synthetic taxon 324,synthetic_species_324,species
item_325,Synthetic taxon 325,synthetic_species_325,species
item_326,Synthetic taxon 326,synthetic_species_326,species
item_327,Synthetic taxon 327,synthetic_species_327,species
item_328,Synthetic taxon 328,synthetic_species_328,species
item_329,Synthetic taxon 329,synthetic_species_329,species
