item_id,taxon_name,T,taxon_direction,S,F
item_000,Synthetic taxon 000,0.787521541,CRC_enriched,0.919109032,0.4
item_001,Synthetic taxon 001,0.905574977,CRC_enriched,0.910446243,0.4
item_002,Synthetic taxon 002,0.871709585,CRC_enriched,0.666636703,0.4
item_003,Synthetic taxon 003,0.923038244,CRC_enriched,0.753554953,0.4
item_004,Synthetic taxon 004,0.811361372,CRC_enriched,0.809979677,0.4
item_005,Synthetic taxon 005,0.85536319,CRC_enriched,0.92555523,0.4
item_006,Synthetic taxon 006,0.787071705,CRC_enriched,0.767720614,0.6
item_007,Synthetic taxon 007,0.814841986,CRC_enriched,0.892384107,0.4
item_008,Synthetic taxon 008,0.856152833,CRC_enriched,0.764797004,0.4
item_009,Synthetic taxon 009,0.851342201,CRC_enriched,0.70172847,0.4
item_010,Synthetic taxon 010,1,CRC_enriched,0.804415022,0.2
item_011,Synthetic taxon 011,0.786249459,CRC_enriched,0.83508623,0.4
item_012,Synthetic taxon 012,0.815297067,CRC_enriched,0.76645957,0.4
item_013,Synthetic taxon 013,0.662197053,CRC_enriched,0.686171664,0.6
item_014,Synthetic taxon 014,0.935757399,CRC_enriched,0.900600274,0.4
item_015,Synthetic taxon 015,0.79183352,CRC_enriched,0.778318646,0.6
item_016,Synthetic taxon 016,0.793051302,CRC_enriched,0.679857631,0.4
item_017,Synthetic taxon 017,0.884511292,CRC_enriched,0.631714926,0.4
item_018,Synthetic taxon 018,0.83182919,CRC_enriched,0.722849376,0.2
item_019,Synthetic taxon 019,0.853529811,CRC_enriched,0.711699981,0.4
item_020,Synthetic taxon 020,0.827740848,CRC_enriched,0.991723579,0.4
item_021,Synthetic taxon 021,0.709973454,CRC_enriched,0.718849533,0.4
item_022,Synthetic taxon 022,0.772970855,CRC_enriched,0.7653563,0.4
item_023,Synthetic taxon 023,0.875739992,CRC_enriched,0.829614964,0.2
item_024,Synthetic taxon 024,0.856408656,CRC_enriched,0.732020962,0.6
item_025,Synthetic taxon 025,0.890274465,CRC_enriched,0.878587332,0.6
item_026,Synthetic taxon 026,0.986722767,CRC_enriched,0.561706427,0.4
item_027,Synthetic taxon 027,0.93323952,CRC_enriched,0.832802352,0.4
item_028,Synthetic taxon 028,0.924702704,CRC_enriched,0.882337473,0.4
item_029,Synthetic taxon 029,0.879571736,CRC_enriched,0.813561831,0.4
item_030,Synthetic taxon 030,0.972850442,CRC_enriched,0.833177528,0.6
item_031,Synthetic taxon 031,0.906714559,CRC_enriched,0.681060689,0.4
item_032,Synthetic taxon 032,0.767103672,CRC_enriched,0.693058678,0.6
item_033,Synthetic taxon 033,0.705798686,CRC_enriched,0.644892153,0.4
item_034,Synthetic taxon 034,0.805758119,CRC_enriched,0.836493752,0.4
item_035,Synthetic taxon 035,0.724238157,CRC_enriched,0.659752044,0.2
item_036,Synthetic taxon 036,0.998045206,CRC_enriched,0.914063099,0.4
item_037,Synthetic taxon 037,0.846018553,CRC_enriched,0.819988005,0.8
item_038,Synthetic taxon 038,0.80531162,CRC_enriched,0.751752533,0.4
item_039,Synthetic taxon 039,0.830088973,CRC_enriched,0.800020263,0.6
item_040,Synthetic taxon 040,0.787844539,CRC_enriched,0.72744366,0.2
item_041,Synthetic taxon 041,0.755681336,CRC_enriched,0.794822,0.2
item_042,Synthetic taxon 042,0.802071929,CRC_enriched,0.850384902,0.4
item_043,Synthetic taxon 043,0.941961348,CRC_enriched,0.876067704,0.6
item_044,Synthetic taxon 044,0.920270801,CRC_enriched,0.853486128,0.8
item_045,Synthetic taxon 045,0.792718589,CRC_enriched,0.725850315,0.4
item_046,Synthetic taxon 046,0.736955166,CRC_enriched,0.857806628,0.6
item_047,Synthetic taxon 047,0.731063426,CRC_enriched,0.767356663,0.4
item_048,Synthetic taxon 048,0.809939027,CRC_enriched,0.752152238,0.4
item_049,Synthetic taxon 049,0.921380818,CRC_enriched,0.692259647,0.6
item_050,Synthetic taxon 050,0.740838408,healthy_enriched,0.70844969,0.2
item_051,Synthetic taxon 051,0.63924402,healthy_enriched,0.828468419,0.6
item_052,Synthetic taxon 052,0.773220241,healthy_enriched,0.828894541,0.4
item_053,Synthetic taxon 053,0.681847692,healthy_enriched,0.784596837,0.2
item_054,Synthetic taxon 054,0.709019363,healthy_enriched,0.7569584,0.6
item_055,Synthetic taxon 055,0.676422715,healthy_enriched,0.802250899,0.4
item_056,Synthetic taxon 056,0.682088733,healthy_enriched,0.905933036,0.2
item_057,Synthetic taxon 057,0.767509103,healthy_enriched,0.81288559,0.4
item_058,Synthetic taxon 058,0.691541314,healthy_enriched,0.598609185,0.4
item_059,Synthetic taxon 059,0.708627105,healthy_enriched,0.727075891,0.4
item_060,Synthetic taxon 060,0.721565962,healthy_enriched,0.73810259,0.4
item_061,Synthetic taxon 061,0.639555097,healthy_enriched,0.629409598,0.4
item_062,Synthetic taxon 062,0.651133955,healthy_enriched,0.574383958,0.4
item_063,Synthetic taxon 063,0.595162332,healthy_enriched,0.605399666,0.4
item_064,Synthetic taxon 064,0.651474535,healthy_enriched,0.670256099,0.2
item_065,Synthetic taxon 065,0.779744089,healthy_enriched,0.800307535,0.2
item_066,Synthetic taxon 066,0.675976813,healthy_enriched,0.801235817,0.4
item_067,Synthetic taxon 067,0.571419179,healthy_enriched,0.716093861,0.2
