item_id,taxon_name,T,taxon_direction,true_group,S,F
item_000,Ruminococcus synthetic_species_001,0.481712073,neutral,neutral,0.475249648,0.588010669
item_001,Prevotella synthetic_species_001,0.527982593,CRC_enriched,neutral,0.465189666,0.481327564
item_002,Dorea synthetic_species_001,0.563073039,neutral,neutral,0.529635608,0.505823135
item_003,Bacteroides synthetic_species_001,0.54694885,CRC_enriched,neutral,0.480520189,0.427133083
item_004,Prevotella synthetic_species_002,0.367018163,neutral,neutral,0.530061841,0.571019411
item_005,Dorea synthetic_species_002,0.500939131,neutral,neutral,0.530316174,0.574873805
item_006,Clostridium synthetic_species_001,0.507228971,neutral,neutral,0.554396689,0.520958006
item_007,Clostridium synthetic_species_002,0.438033283,neutral,neutral,0.5071522,0.478762805
item_008,Alistipes synthetic_species_001,0.474697769,neutral,neutral,0.449756444,0.505890727
item_009,Dorea synthetic_species_003,0.455886513,healthy_enriched,neutral,0.489056349,0.570497274
item_010,Prevotella synthetic_species_003,0.454654098,healthy_enriched,neutral,0.487368852,0.56713587
item_011,Clostridium synthetic_species_003,0.452108055,neutral,neutral,0.4658418,0.421763152
item_012,Alistipes synthetic_species_002,0.45388633,neutral,neutral,0.528219521,0.616659284
item_013,Clostridium synthetic_species_004,0.484170824,neutral,neutral,0.456198931,0.444877267
item_014,Oscillibacter synthetic_species_001,0.506349504,CRC_enriched,neutral,0.501818895,0.644505262
item_015,Blautia synthetic_species_001,0.476800889,neutral,neutral,0.495481282,0.477552384
item_016,Ruminococcus synthetic_species_002,0.542408168,neutral,neutral,0.466353595,0.51463902
item_017,Subdoligranulum synthetic_species_001,0.579117,neutral,neutral,0.489268064,0.449586838
item_018,Blautia synthetic_species_002,0.454785407,neutral,neutral,0.469938725,0.563783884
item_019,Coprococcus synthetic_species_001,0.412409902,neutral,healthy_enriched,0.488547772,0.385801733
item_020,Oscillibacter synthetic_species_002,0.468838871,neutral,neutral,0.507777631,0.596721292
item_021,Oscillibacter synthetic_species_003,0.456159443,healthy_enriched,neutral,0.476164043,0.449971825
item_022,Bacteroides synthetic_species_002,0.498794436,neutral,neutral,0.522089541,0.620682359
item_023,Oscillibacter synthetic_species_004,0.474706054,healthy_enriched,neutral,0.532396257,0.403876156
item_024,Clostridium synthetic_species_005,0.448969841,neutral,neutral,0.449768811,0.412399352
item_025,Alistipes synthetic_species_003,0.519947112,CRC_enriched,neutral,0.430142254,0.40496251
item_026,Peptostreptococcus synthetic_species_001,0.552893698,neutral,CRC_enriched,0.606379211,0.777783573
item_027,Clostridium synthetic_species_006,0.51430434,neutral,neutral,0.495764464,0.550190747
item_028,Alistipes synthetic_species_004,0.489216924,neutral,neutral,0.576782525,0.539728642
item_029,Dorea synthetic_species_004,0.477624595,healthy_enriched,neutral,0.59553045,0.612338066
item_030,Blautia synthetic_species_003,0.535932243,neutral,neutral,0.496353,0.453911275
item_031,Blautia synthetic_species_004,0.332410634,neutral,neutral,0.492333353,0.592857778
item_032,Subdoligranulum synthetic_species_002,0.536191344,neutral,neutral,0.50732404,0.596853077
item_033,Prevotella synthetic_species_004,0.498635381,neutral,neutral,0.499287009,0.48239404
item_034,Alistipes synthetic_species_005,0.594064116,CRC_enriched,neutral,0.522264659,0.455716133
item_035,Subdoligranulum synthetic_species_003,0.487197936,healthy_enriched,neutral,0.506641924,0.487960547
