item_id,taxon_name,original_feature_id,rank,true_group,metadata_effect,log2fc_ref
item_000,Bacteroides synthetic_species_001,synthetic_feature_000,species,neutral,0.0,0.18136719
item_001,Subdoligranulum synthetic_species_001,synthetic_feature_001,species,neutral,0.7021435,0.05554525
item_002,Collinsella synthetic_species_001,synthetic_feature_002,species,neutral,0.0,-0.2563135
item_003,Ruminococcus synthetic_species_001,synthetic_feature_003,species,neutral,0.50980663,-0.096871786
item_004,Subdoligranulum synthetic_species_002,synthetic_feature_004,species,neutral,0.0,0.05275791
item_005,Roseburia synthetic_species_001,synthetic_feature_005,species,healthy_enriched,-0.94107145,-0.19499381
item_006,Prevotella synthetic_species_001,synthetic_feature_006,species,neutral,0.0,-0.029049011
item_007,Alistipes synthetic_species_001,synthetic_feature_007,species,neutral,0.0,-0.19344713
item_008,Prevotella synthetic_species_002,synthetic_feature_008,species,neutral,0.0,-0.27285573
item_009,Dorea synthetic_species_001,synthetic_feature_009,species,neutral,-0.49871966,-0.17588896
item_010,Prevotella synthetic_species_003,synthetic_feature_010,species,neutral,0.7409685,-0.27350035
item_011,Alistipes synthetic_species_002,synthetic_feature_011,species,neutral,0.0,0.119448096
item_012,Ruminococcus synthetic_species_002,synthetic_feature_012,species,neutral,-0.52637506,0.13769397
item_013,Blautia synthetic_species_001,synthetic_feature_013,species,neutral,0.0,0.0037819245
item_014,Bifidobacterium synthetic_species_001,synthetic_feature_014,species,healthy_enriched,-0.59997344,-0.26433513
item_015,Faecalibacterium synthetic_species_001,synthetic_feature_015,species,healthy_enriched,-0.79861546,-0.20293985
item_016,Blautia synthetic_species_002,synthetic_feature_016,species,neutral,0.0,-0.13951512
item_017,Prevotella synthetic_species_004,synthetic_feature_017,species,neutral,0.0,-0.057326574
item_018,Subdoligranulum synthetic_species_003,synthetic_feature_018,species,neutral,0.0,-0.12377535
item_019,Alistipes synthetic_species_003,synthetic_feature_019,species,neutral,0.0,0.05534831
item_020,Oscillibacter synthetic_species_001,synthetic_feature_020,species,neutral,0.0,0.35518572
item_021,Clostridium synthetic_species_001,synthetic_feature_021,species,neutral,0.0,-0.1686308
item_022,Eubacterium synthetic_species_001,synthetic_feature_022,species,healthy_enriched,-0.5681227,-0.16284572
item_023,Ruminococcus synthetic_species_003,synthetic_feature_023,species,neutral,0.0,0.3626344
item_024,Ruminococcus synthetic_species_004,synthetic_feature_024,species,neutral,0.0,0.07849289
item_025,Anaerostipes synthetic_species_001,synthetic_feature_025,species,healthy_enriched,0.0,-0.2508136
item_026,Dorea synthetic_species_002,synthetic_feature_026,species,neutral,0.69110864,-0.028737038
item_027,Blautia synthetic_species_003,synthetic_feature_027,species,neutral,0.0,0.11967273
item_028,Dorea synthetic_species_003,synthetic_feature_028,species,neutral,0.0,0.16568387
item_029,Clostridium synthetic_species_002,synthetic_feature_029,species,neutral,0.5973173,0.054041684
item_030,Dorea synthetic_species_004,synthetic_feature_030,species,neutral,0.0,0.063684896
item_031,Ruminococcus synthetic_species_005,synthetic_feature_031,species,neutral,0.0,-0.033233177
item_032,Ruminococcus synthetic_species_006,synthetic_feature_032,species,neutral,0.0,0.068022974
item_033,Clostridium synthetic_species_003,synthetic_feature_033,species,neutral,0.0,0.10743692
item_034,Prevotella synthetic_species_005,synthetic_feature_034,species,neutral,0.0,0.0668112
item_035,Alistipes synthetic_species_004,synthetic_feature_035,species,neutral,0.0,0.15007946
item_036,Ruminococcus synthetic_species_007,synthetic_feature_036,species,neutral,0.0,0.01674165
item_037,Blautia synthetic_species_004,synthetic_feature_037,species,neutral,0.0,0.12592137
item_038,Prevotella synthetic_species_006,synthetic_feature_038,species,neutral,0.44068456,0.0910715
item_039,Dorea synthetic_species_005,synthetic_feature_039,species,neutral,0.0,0.009423899
item_040,Blautia synthetic_species_005,synthetic_feature_040,species,neutral,0.0,-0.15609007
item_041,Subdoligranulum synthetic_species_004,synthetic_feature_041,species,neutral,0.0,-0.183316
item_042,Dorea synthetic_species_006,synthetic_feature_042,species,neutral,0.0,0.13214746
item_043,Subdoligranulum synthetic_species_005,synthetic_feature_043,species,neutral,0.49597445,0.18142436
item_044,Blautia synthetic_species_006,synthetic_feature_044,species,neutral,0.0,0.12204484
item_045,Clostridium synthetic_species_004,synthetic_feature_045,species,neutral,0.6809228,0.17884186
item_046,Parvimonas synthetic_species_001,synthetic_feature_046,species,CRC_enriched,0.0,0.24896164
item_047,Akkermansia synthetic_species_001,synthetic_feature_047,species,healthy_enriched,-0.73813164,-0.27360553
item_048,Alistipes synthetic_species_005,synthetic_feature_048,species,neutral,0.0,0.006345085
item_049,Prevotella synthetic_species_007,synthetic_feature_049,species,neutral,0.0,0.029013515
item_050,Bacteroides synthetic_species_002,synthetic_feature_050,species,neutral,0.0,-0.017446594
item_051,Solobacterium synthetic_species_001,synthetic_feature_051,species,CRC_enriched,0.590813,0.23504014
item_052,Solobacterium synthetic_species_002,synthetic_feature_052,species,CRC_enriched,0.0,0.34898823
item_053,Prevotella synthetic_species_008,synthetic_feature_053,species,neutral,0.0,0.07941056
item_054,Oscillibacter synthetic_species_002,synthetic_feature_054,species,neutral,0.0,0.039432663
item_055,Eubacterium synthetic_species_002,synthetic_feature_055,species,healthy_enriched,0.0,-0.29281583
item_056,Blautia synthetic_species_007,synthetic_feature_056,species,neutral,0.0,0.06867858
item_057,Collinsella synthetic_species_002,synthetic_feature_057,species,neutral,0.0,-0.032406174
item_058,Collinsella synthetic_species_003,synthetic_feature_058,species,neutral,0.0,-0.40709773
item_059,Clostridium synthetic_species_005,synthetic_feature_059,species,neutral,0.6014396,0.11065583
item_060,Subdoligranulum synthetic_species_006,synthetic_feature_060,species,neutral,0.0,-0.093583055
item_061,Clostridium synthetic_species_006,synthetic_feature_061,species,neutral,0.0,-0.0017051834
item_062,Subdoligranulum synthetic_species_007,synthetic_feature_062,species,neutral,0.0,-0.014442403
item_063,Oscillibacter synthetic_species_003,synthetic_feature_063,species,neutral,0.35120186,0.065439805
item_064,Ruminococcus synthetic_species_008,synthetic_feature_064,species,neutral,0.0,0.03373805
item_065,Gemella synthetic_species_001,synthetic_feature_065,species,CRC_enriched,0.93311584,0.25132623
item_066,Prevotella synthetic_species_009,synthetic_feature_066,species,neutral,0.0,0.0134002045
item_067,Subdoligranulum synthetic_species_008,synthetic_feature_067,species,neutral,0.0,0.1209586
item_068,Akkermansia synthetic_species_002,synthetic_feature_068,species,healthy_enriched,0.0,-0.108727016
item_069,Oscillibacter synthetic_species_004,synthetic_feature_069,species,neutral,-0.45237032,-0.10062491
item_070,Clostridium synthetic_species_007,synthetic_feature_070,species,neutral,0.0,-0.0071882647
item_071,Bifidobacterium synthetic_species_002,synthetic_feature_071,species,healthy_enriched,0.0,-0.11910213
item_072,Clostridium synthetic_species_008,synthetic_feature_072,species,neutral,0.0,-0.010081336
item_073,Alistipes synthetic_species_006,synthetic_feature_073,species,neutral,0.0,0.019725604
item_074,Alistipes synthetic_species_007,synthetic_feature_074,species,neutral,0.0,-0.012709701
item_075,Agathobacter synthetic_species_001,synthetic_feature_075,species,healthy_enriched,0.0,-0.07505832
item_076,Dorea synthetic_species_007,synthetic_feature_076,species,neutral,0.0,0.11180397
item_077,Clostridium synthetic_species_009,synthetic_feature_077,species,neutral,0.0,-0.07699158
item_078,Clostridium synthetic_species_010,synthetic_feature_078,species,neutral,0.0,0.0020645496
item_079,Subdoligranulum synthetic_species_009,synthetic_feature_079,species,neutral,0.0,0.030547593
item_080,Clostridium synthetic_species_011,synthetic_feature_080,species,neutral,0.72911155,0.050121494
item_081,Bacteroides synthetic_species_003,synthetic_feature_081,species,neutral,0.0,-0.08439211
item_082,Ruminococcus synthetic_species_009,synthetic_feature_082,species,neutral,0.0,-0.023202889
item_083,Ruminococcus synthetic_species_010,synthetic_feature_083,species,neutral,0.0,-0.033986967
item_084,Blautia synthetic_species_008,synthetic_feature_084,species,neutral,0.0,0.0810785
item_085,Peptostreptococcus synthetic_species_001,synthetic_feature_085,species,CRC_enriched,0.84346825,0.15689532
item_086,Subdoligranulum synthetic_species_010,synthetic_feature_086,species,neutral,0.0,-0.014171523
item_087,Alistipes synthetic_species_008,synthetic_feature_087,species,neutral,0.0,-0.038608156
item_088,Dorea synthetic_species_008,synthetic_feature_088,species,neutral,0.0,-0.15515788
item_089,Oscillibacter synthetic_species_005,synthetic_feature_089,species,neutral,0.0,0.025386805
item_090,Ruminococcus synthetic_species_011,synthetic_feature_090,species,neutral,0.0,-0.033476505
